,,,,,,Jul 25,Aug 25,Sep 25,Oct 25,Nov 25,Dec 25,Jan 26,Feb 26,Mar 26,Apr 26,May 26,Jun 26,TOTAL
,,,,,,,,,,,,,,,,,,
FMMO Reported Gallons,,,,,,"333,613","306,932","284,884","317,889","262,089","332,448","307,297","300,520","345,432","348,067","344,494","332,148","3,815,814"
,,,,,,,,,,,,,,,,,,
Revenue / FMMO Reported Gallons Processed,,,,,,5.284,5.217,4.881,4.725,4.755,4.698,4.898,4.739,4.875,5.611,5.473,5.556,5.074
,,,,,,,,,,,,,,,,,,
COGS Milk @ FMMO Class I,,,,,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
,,,,,,,,,,,,,,,,,,
LABOR Cost / FMMO Reported Gallons Processed,,,,,,0.457,0.496,0.503,0.465,0.513,0.461,0.518,0.508,0.447,0.460,0.566,0.472,0.488
,,,,,,,,,,,,,,,,,,
PKG'g & INGRED Cost / FMMO Reported Gallons Processed,,,,,,1.530,0.686,1.177,0.975,1.000,0.533,1.188,1.189,0.992,1.367,1.086,1.415,1.098
,,,,,,,,,,,,,,,,,,
ALL OTHER PLANT Cost / FMMO Reported Gallons Processed,,,,,,0.301,0.394,0.371,0.356,0.359,0.267,0.329,0.332,0.228,0.328,0.315,0.338,0.324
,,,,,,,,,,,,,,,,,,
NET MARGIN $ / Fluid Gallons,,,,,,0.746,1.391,0.580,0.679,0.633,1.187,0.613,0.461,0.957,1.207,1.256,1.080,0.914
,,,,,,,,,,,,,,,,,,
Margin %,,,,,,14%,27%,12%,14%,13%,25%,13%,10%,20%,22%,23%,19%,18%
